id,question,A,B,C,D,answer,explanation
21,20℃时，NaCl的溶解度为36g。配制此温度下20g质量分数为5%的NaCl溶液，下列说法正确的是____,配制该溶液需要5g NaCl,该溶液为饱和溶液,将该溶液长时间敞口放置，最终有晶体析出,配溶液时，量取所需体积的水倒入烧杯，有少量水洒出，则所配溶液浓度小于5%,C,
22,下列关于氧气的说法不正确的是____,氧气在低温、高压时能变成液体或固体,铁丝伸入盛有氧气的集气瓶中剧烈燃烧，火星四射,用带火星的木条可以检验氧气,空气中的氧气分子和氮气分子均匀地混合在一起,B,
23,下列变化属于化学变化的是____,海水晒盐,干冰升华,滴水成冰,湿法炼铜,D,
24,为了防控新冠肺炎疫情，需要养成勤消毒的卫生习惯，常用的消毒液是体积分数为 75%的酒精溶液，下列有关酒精溶液的说法不正确的是____,属于混合物,溶质是酒精，溶剂是水,喷洒时能闻到气味，说明分子在不断运动,静置时会分层,D,
25,关于过氧化氢（$\text{H}_2 \text{O}_2$）的说法正确的是____,过氧化氢由氢分子和氧分子构成的,过氧化氢由氢原子和氧原子构成的,过氧化氢的摩尔质量是34,过氧化氢中氢、氧原子物质的量比为1：1,D,
26,以下食谱描述正确的是____,蔬菜富含维生素,瘦肉富含糖类,米饭富含蛋白质,鸡蛋富含淀粉,A,
27,科学家发现半胱氨酸能增强艾滋病毒感染者的免疫力。已知半胱氨酸的分子化学式为$C_3H_7NSO_2$。下列说法错误的是____,一个半胱氨酸分子由14个原子构成,半胱氨酸的相对分子质量为121,半胱氨酸由5种元素组成,C、H、N、S、O元素的质量比为3：7：1：1：2,D,
28,下列有关化学史的叙述错误的是____,汤姆森发现电子,卢瑟福发现原子核,门捷列夫编制了元素周期表,拉瓦锡发现酸碱指示剂,D,
29,实验室用NaCl固体配制50g15%NaCl溶液。下列仪器一般不需要用到的是____,烧杯,玻璃棒,酒精灯,托盘天平,C,
30,下列有关水的说法正确的是____,水是取之不尽、用之不竭的资源,自来水厂净水过程中，必须有蒸馏步骤,硬水中加入肥皂水并振荡后，会出现大量浮渣,为节约水资源，提倡直接用工业废水浇灌农田,C,
31,下列的物质性质和用途，有直接联系的是____,浓硫酸有腐蚀性，在实验室中可用作干燥剂,熟石灰溶于水呈碱性，可用于改良酸性土壤,碳酸氢铵受热易分解，可用作化肥,金刚石无色透明，可用于制作钻头,B,
32,下列实验现象描述正确的是____,将明矾加入浑浊的井水中，静置，井水变澄清,碳在空气中燃烧，生成了二氧化碳气体,一氧化碳燃烧时，放出大量的热，火焰呈黄色,在氢氧化钠溶液中滴入几滴酚酞溶液，溶液不变色,A,
33,下列对历史上几项重要化学研究成果的介绍错误的是____,波义耳发现了质量守恒定律,居里夫妇发现了钋和镭,门捷列夫发表了元素周期表,侯德榜创新了纯碱制法,A,
34,某化学反应的化学方程式为aA+bB= cC+dD，下列说法正确的是____,a+b一定等于c+d,若B、D是化合物，该反应一定是置换反应,a : b一定等于c : d,该反应一定不是化合反应,D,
35,2011年3月，日本福岛发生了核泄漏事故，核电站泄漏出来的放射性物质中含有铯—137，过量摄入铯—137会使人的造血系统和神经系统受到损伤。已知铯—137的质子数为55，中子数为82，下列有关铯—137的说法正确的是 ____,铯—137原子的核外电子数为82,铯—137的相对原子质量为137 g,铯—137原子的核电荷数为55,铯—137属于非金属元素,C,
36,下列活动中发生了化学变化的是____,堆雪人,放烟花,捏泥人,剪窗花,B,
37,化学肥料是农作物的“粮食”。下列关于化学肥料的说法正确的是____,尿素($CO(NH_2)_2$)属于复合肥料,大量施用化肥以提高农作物产量,化肥的过度使用会造成土壤酸化，可用熟石灰改良,棉花叶片枯黄，应施用硫酸钾等钾肥,C,
38,下列日常生活中的变化，属于化学变化的是____,燃放烟花,冰雪融化,西瓜榨汁,蔗糖溶解,A,
39,化学与生活息息相关，日常生活中的下列做法不正确的是____,饮料瓶应放入可回收垃圾桶,室内发生大火应立即打开窗户求救,青少年应多晒晒太阳利于补钙,用活性炭可除去冰箱中的异味,B,
40,党的十八大以来，以习近平同志为核心的党中央提出全面推进农村人居环境整治，建设生态宜居的美丽乡村。下列做法与建设美丽乡村理念不相符的是____,固体垃圾直接倒入江河,农业上合理使用化肥和农药,进行农户厕所污水、厨房污水、洗涤污水的有效治理,植树造林，发展农业经济,A,
41,下列说法正确的是____,血红蛋白在呼吸过程中起载体作用,油脂是供能物质，应大量摄入,缺乏维生素C会引起夜盲症,缺锌会引起贫血,A,
42,生活中区分硬水和软水常用的试剂是____,食盐水,稀盐酸,蔗糖水,肥皂水,D,
43,"我国科学家最近成功合成了世界上首个全氮阴离子盐(化学式为$H_{25}N_{34}O_3Cl$),该物质是超高能材料，在航空航天上可做推进剂。下列有关该物质的说法正确的是____",属于有机物,由四种非金属元素组成,$H_{25}N_{34}O_3Cl$中原子总数为62,氢、氮、氧、氯的原子个数比为1:7:8:17,B,
44,下列物质中，属于纯净物的是____,洁净的空气,水泥砂浆,液氮,汽水,C,
45,植物生长过程中，若出现叶片发黄，应施加的化肥是____,$K_2SO_4$,$Ca_3(PO_4)_2$,$CO(NH_2)_2$,KCl,C,
46,地壳中和人体中含量最多的元素是____,氧,硅,铝,铁,A,
47,“宏观辨识与微观探析”是化学的核心素养之一，对下列生产生活中的现象的微观解释不正确的是____,“家的味道，就是一进门那熟悉的饭菜香味”是因为分子在不断地运动,“酸、苦、甘、辛、咸”，不同的食品给我们不同的味觉，是因为物质不同，构成物质的微粒不同，性质不同,“5L黄豆和5L芝麻均匀混合，体积小于10L”，是因为分子之间有间隔,“沁人心脾的花香”可以感受得到却看不到，是因为分子很小肉眼不可辨,C,
48,下列说法对空气描述正确的是____,无色、无气味的气体一定是空气,空气是氧气和氮气组成的,空气的成分是固定的不变的,按体积计算，空气中氮气占78%，氧气占21%,D,
49,生活中一些常见物质的 pH 如下：厕所清洁剂 pH=1、食盐水 pH=7、肥皂水 pH=10、炉具清洁剂 pH=12，其中碱性最强的是____,厕所清洁剂,食盐水,肥皂水,炉具清洁剂,D,
50,2020年世界环境日中国宣传主题是“美丽中国，我是行动者”。下列做法与这一主题不相符的是____,垃圾分类投放,野炊明火烧烤,控制汽车鸣笛,坚持绿色出行,B,
51,“神舟十三号”执行的下列任务中，一定涉及化学变化的是____,出舱行走,展示国旗,采集水样,点火返回,D,
52,将下列家庭中常用物质放入水中，不能形成溶液的是____,食盐,纯碱,蔗糖,花生油,D,
53,分类是认识和研究物质及其变化的常用的科学方法，如物质可分为纯净物和混合物。下列物质属于化合物的是____,盐酸,镁铝合金,氢氧化钠,氮气,C,
54,推理是学习化学的一种方法，但不合理的推理会得到错误结论。以下推理正确的是 ____,分子可以构成物质——物质一定由分子构成,溶液具有均一性和稳定性——具有均一性、稳定性的液体一定是溶液,含碳元素的物质燃烧会生成二氧化碳——燃烧能生成二氧化碳的物质一定含有碳元素,酸碱中和反应能生成盐和水——生成盐和水的反应一定是中和反应,C,
55,"生活中一些物质的pH如下面所示， 其中显酸性的是____ 
番茄汁 pH=4，糖水 pH=7，牙膏 pH=9，肥皂水 pH=10",番茄汁,糖水,牙膏,肥皂水,A,
56,生活中的下列做法合理的是____,楼房着火时乘电梯逃生,保存海鲜时用甲醛溶液浸泡,在高原上用高压锅煮饭,雷雨时打着伞在开阔地行走,C,
57,合成材料的应用与发展，大大方便了人类的生活。下列物品是用有机合成材料制作的是____,塑料桶,纯羊毛衫,铅笔芯,青铜铸像,A,
58,下列变化属于化学变化的是____,湿衣晾干,玻璃破碎,冰雪融化,纸张燃烧,D,
59,大气平流层中的臭氧（$O_3$）能吸收大部分紫外线，保护地球生物，臭氧属于____,纯净物,混合物,氧化物,化合物,A,
60,下列物质的用途中，利用其化学性质的是____,干冰用于人工降雨,天然气用作燃料,活性炭用作吸附冰箱中异味,氦气填充探空气球,B,
61,三角烯（化学式为$C_{22}H_{14}$）应用于量子计算、量子信息处理和自旋电子学等领域。下列有关三角烯的说法正确的是____,由36个原子构成,含有7个氢分子,碳、氢元素的质量比为11：7,三角烯的相对分子质量为278,D,
62,地壳中含量最多的金属元素的是____,O,Ca,Al,Cl,C,
63,已知下列食物的近似pH，其中酸性最强的是____,葡萄汁：3.5~4.5,苹果汁：2.3~3.4,牛奶：6.4~6.5,鸡蛋清：7.7~8.0,B,
64,下列有关溶液说法正确的是____,均一、稳定的液体都是溶液,硝酸铵溶于水会放出大量的热,汽油和洗涤剂除油污的原理是相同的,生活中可用白醋除去水壶中的水垢,D,
65,燃料是人类社会重要的能源，下列说法不正确的是____,煤的燃烧可能造成酸雨的原因是排放大量$CO_2$,石油炼制可得到石油气、汽油、煤油等产品,汽车燃料改用压缩天然气可减少对空气的污染,乙醇（$C_2H_5OH$）在空气中完全燃烧只生成二氧化碳和水,A,
66,下列有关金属的说法正确的是____,所有金属都呈银白色,常温下，所有的金属都是固体,为了增加金属产量，大量开采金属矿物,金属的回收利用，能减少对环境的污染,D,
67,下列化学用语正确的是____,2个氢原子：$H_2$,镁离子：$Mg^{+2}$,高锰酸钾：$K_2MnO_4$,3个水分子：$3H_2O$,D,
68,合理使用化肥是农作物增产的有效措施之一。下列物质中可用作氮肥的是 ____,$\text{MgSO}_4$,KCl,$\text{NH}_4\text{NO}_3$,$\text{Ca}_3(\text{PO}_4)_2$,C,
69,下列富含蛋白质的食物是____,苹果,花生油,红烧牛肉,米饭,C,
70,科学家对人类文明和社会可持续发展作出了重要贡献。下列选项正确的是____,拉瓦锡编制了元素周期表,门捷列夫提出了近代原子学说,道尔顿确定了空气的组成,屠呦呦因研究青蒿素获诺贝尔奖,D,
71,下列分类正确的是____,冰、干冰、可燃冰都是氧化物,金属、玻璃、石墨都是导体,钙、锌、碘都是人体必需元素,钳子、羊角锤、定滑轮都是省力杠杆,C,
72,2021年世界环境日的主题为“人与自然和谐共生”。下列做法或认识不符合这一主题的是____,提倡绿色出行，少开私家车,加强植树造林，改善空气质量,将废电池填埋，避免重金属污染,用风能和太阳能发电代替燃煤发电,C,
73,空气是一种复杂的混合物，含有氮气、氧气、二氧化碳、稀有气体等成分，下列说法错误的是____,氧气可用于化工生产、航空航天、医疗急救等领域,医疗上可在液氮冷冻麻醉条件下做手术,因为二氧化碳能与水反应生成碳酸，所以二氧化碳能造成酸雨,庆祝节假日时，美丽的霓虹灯与稀有气体的应用有关,C,
74,在“一定质量分数的氯化钠溶液的配制”和“粗盐中难溶性杂质的去除”两个实验中，下列说法错误的是____,两个实验中都需要的玻璃仪器有烧杯、玻璃棒、量筒,溶液配制步骤包括计算、称量、量取、溶解、装瓶贴签,配制溶液时，量取水时仰视读数会导致溶质的质量分数偏大,在粗盐提纯中蒸发时，有较多固体析出时就停止加热，用余热蒸干,C,
75,下列广东美食中富含淀粉的是____,客家豆腐,广式腊肠,深井烧鹅,陈村米粉,D,
76,食品安全与人体健康密切相关。下列做法不会危害人体健康的是 ____,将工业用盐亚硝酸钠（$NaNO_2$）用于腌制火腿,用甲醛溶液浸泡水产品,霉变的大米经过反复蒸煮后食用,在煲好的鸡汤中放入适量的加碘食盐,D,
77,发芽的土豆中含有一种对人体有害的生物碱称龙葵碱，对人体胃肠黏膜有刺激作用，并有溶血及麻痹呼吸中枢的作用。发芽土豆的芽眼芽根和变绿的部位含量更高，人吃了会有咽喉痒、恶心、呕吐、腹痛等症状，重者会死亡。龙葵碱的化学式为$C_{45}H_{73}O_{15}N$，下列有关龙葵碱的说法正确的是____,龙葵碱中的相对原子质量为：（45×12+1×73+15×16+1×7）g,龙葵碱属于有机高分子化合物,龙葵碱中碳原子与氧原子的个数比为3：1,龙葵碱由45个碳原子、73个氢原子、15个氧原子和1个氮原子构成,C,
78,"过氧化氢($\text{H}_2 \text{O}_2$)是隐形眼镜的洗液成分,下列说法正确的是____",它由氢气和氧气组成,它由一个氢分子和一个氧分子构成,它由两个氢元素和两个氧元素构成,它由氢元素和氧元素组成,D,
79,材料在人类生产、生活中有着重要的作用。下列对材料的分类判断正确的是____,陶瓷属于合成材料,棉线、蚕丝属于天然纤维,不锈钢属于复合材料,玻璃钢属于金属材料,B,
80,酚酞($C_{20}H_{14}O_4$)是常见的酸碱指示剂。下列关于酚酞的说法正确的是____,属于无机化合物,相对分子质量为(12×20+1×14+16×4)g,C、H、O三种元素的质量比为(12×20)：(1×14)：(16×4),碳元素的质量分数为$\frac{20}{20+14+4}\times100\%$,C,
81,下列物质的用途主要是由化学性质决定的是____,氢气用于填充彩色气球,压缩空气给轮胎充气,钨用于制作白炽灯丝,二氧化碳用作气体肥料,D,
82,下面是小洁同学归纳整理的“化学之最”，其中都正确的一组是____,科学家之最：汤姆森-最早发现了电子；侯德榜-最早发现了制烧碱的方法；门捷列夫-最早绘出了元素周期表,物质之最：甲烷-最简单的有机物；水—相对分子质量最小的氧化物；铁—用量最大的金属,化学与健康之最：蛋白质—人体最主要的供能物质；钙—人体中含量最多的金属元素；氧—人体中含量最多的非金属元素,元素之最：硅—地壳中含量最多的元素；铁—地壳中含量最多的金属元素；碳—形成化合物种类最多的元素,B,
83,现在普遍人应用电脑比较多，科学家发现富含维生素食品具有较好的防辐射损伤功能。下列食物中富含维生素的是____,瘦肉,蔬菜,豆腐,米饭,B,
84,生活处处皆化学，下列对宏观现象的微观解释不正确的是____,升温温度计水银柱上升一一受热使汞原子间的间隔变大,溶液能够导电一一溶液中有大量自由移动的离子,稀盐酸和稀硫酸都能使紫色石蕊溶液变红一一都含有H+,氯化钠溶于水一一氯化钠均匀分散到水中以分子形式存在,D,
85,下列物质属于纯净物的是____,液态氧,铁矿石,生铁,不锈钢,A,
86,化学与生活息息相关，日常生活中的下列做法正确的是____,在铁制品表面刷漆或涂油，防止生锈,在加油站、加气站、面粉加工厂等处吸烟或打电话,霉变食物经高温蒸煮后，继续食用,冬天用煤火取暖时，紧闭门窗,A,
87,下列分类正确的是____,非晶体：冰、松香、沥青,绝缘体：橡胶、玻璃、石墨,稀有气体：氦气、氖气、氩气,纯净物：液态氧、金刚石、矿泉水,C,
88,坚持生态优先、绿色发展理念，建设美丽中国。下列举措不正确的是____,天更蓝﹣使用清洁能源,地更净﹣垃圾分类回收,水更清﹣污水直排长江,景更美﹣城市绿化美化,C,
89,安徽有很多地方特产。下列安徽特产中富含糖类的是____,黄山臭桂鱼,巢湖大米,萧县葡萄,六安瓜片,B,
90,通过对宏观现象的观察推理，可以建立起对微观粒子的认识。下列对于宏观事实的微观解释错误的是____,水银温度计的汞柱升高或降低——汞原子间有间隔,金刚石和石墨物理性质不同——碳分子排列方式不同,稀盐酸和稀硫酸有相似的化学性质——酸溶液中含有相同的阳离子 H+,水能通电分解生成氢气和氧气——化学变化中分子分为原子，原子又结合成新的分子,B,
91,化学与人类的生产生活密切相关，下列说法不正确的是____,人体中铁元素含量过低，会引起缺铁性贫血,铁制品表面喷刷油漆，可以防止铁制品锈蚀,生活中用过滤的方法，可以降低水的硬度,利用洗涤剂的乳化作用，可以清洗餐具上的油污,C,
92,广东咸肉粽口感鲜香，配料中五花肉富含的营养素是____,油脂,维生素,糖类,无机盐,A,
93,鉴别下列各组物质，不能达到目的的是____,氢氧化钠溶液和碳酸钠溶液：滴入石蕊试液后观察颜色,棉线和羊毛线：灼烧后闻气味,硫酸铵固体和氯化铵固体：加熟石灰混合研磨后闻气味,氢氧化钠固体和硝酸铵固体：加水溶解后测温度,C,
