id,question,A,B,C,D,answer,explanation
5,某施工队承接了60公里的修路任务，为了提前完成任务，实际每天的工作效率比原计划提高了25％，结果提前60天完成了这项任务．设原计划每天修路x公里，根据题意列出的方程正确的是____,$\frac{60\times (1+25 \%)}{x} -\frac{60}{x}=60$,$\frac{60}{x}-\frac{60\times (1+25 \%)}{x} =60$,$\frac{60 }{ (1+25 \%)x} -\frac{60}{x}=60$,$ \frac{60}{x}-\frac{60 }{ (1+25 \%)x} =60$,D,
6,线段$AB=9$ ，点C在线段$AB$上，且有$AC=\frac{1}{3}AB$ ， M是AB 的中点，则 MC等于____,$3$,$\frac{3}{2}$,$\frac{9}{2}$,$\frac{15}{2}$,B,
7,下列命题正确的是____,三角形的重心是三条高线的交点,等腰三角形底边上的中线不一定垂直于底边,线段垂直平分线上的点到线段两端的距离相等,含根号的数都是无理数,C,
8,下列各组代数式中为同类项的是____,$-2xy$与$2x$,$5x^2y$与$-2xy^2$,$5x^5y^4$与$-5x^5z^4$,$-xy$与$\frac{3}{2}y x$,D,
9,下列命题是真命题的是____,两条直线被第三条直线所截，同旁内角互补,三角形内角和为180°,三角形的一个外角等于它的两个内角之和,同角的余角互补,B,
10,抛物线$y=-x^2+2x-2$的顶点坐标为____,"(-1,1)","(1,-1)","(-1,-1)","(1,-3)",B,
11,某商场销售甲、乙两种服装，已知乙服装每件的成本比甲服装贵50元，甲、乙服装均按成本价提高40％   作为标价出售.一段时间后，甲服装卖出了350件，乙服装卖出了200件，销售金额为 129500元，若用方程$350\times1.4x+200\times1.4\times\left(x+50\right)=129500$   表示其中的数量关系，则式子中 所表示的量是____,甲服装的标价,乙服装的标价,甲服装的成本价,乙服装的成本价,C,
12,下列说法正确的是____(1)抛一枚硬币，正面一定朝上； (2)掷一颗骰子，点数一定不大于6；(3)为了解一种灯泡的使用寿命，宜采用普查的方法；(4)“明天的降水概率为80%”，表示明天会有80％的地方下雨．,1个,2个,3个,4个,A,
13,我国古代数学著作《孙子算经》中有一道题：“今有木，不知长短，引绳度之，余绳四尺五，屈绳量之，不足一尺，问木长几何？”大致意思是：“用一根绳子去量一根木条，绳子剩余4.5尺，将绳子对折再量木条，木条剩余1尺，问木条长多少尺？”设绳子长x尺，木条长y尺，则根据题意所列方程组正确的是____,"$\begin{cases}x-y=4.5,\\ \dfrac{1}{2}x-y=1\end{cases}$","$\begin{cases}x-y=4.5,\\ y-\dfrac{1}{2}x=1\end{cases}$","$\left\{\begin{matrix}x+y=4.5,\\ y-\dfrac{1}{2}x=1\end{matrix}\right.$","$\left\{\begin{matrix}x-y=4.5,\\ x-\frac{1}{2}y=1\end{matrix}\right.$",B,
14,甲、乙两班学生参加植树造林，已知甲班每天比乙班多植5棵树，甲班植80棵树所用的天数与乙班植70棵树所用的天数相等．若设甲班每天植树x棵，则根据题意得出的方程是____,$\frac{80}{x-5}=\frac{70}{x}$,$\frac{80}{x}=\frac{70}{x+5}$,$\frac{80}{x+5}=\frac{70}{x}$,$\frac{80}{x}=\frac{70}{x-5}$,D,
15,下列判断错误的的是____,$2x^{2}y^{2}$是二次单项式,单项式 $a$的系数和次数都是 1,数字3是单项式,$2\pi r$的系数是$2\pi$,A,
16,下列图形中有稳定性的是____,平行四边形,直角三角形,长方形,正方形,B,
17,阳光文具店出售笔袋和水笔，笔袋每个12元，水笔每个2元，促销期间购一个笔袋送一个水笔，某人共付款 150元，购得笔袋、水笔共 35个（含赠品），则此人购得笔袋的个数为____,9,10,11,12,B,
18,"一元二次方程$x^2-3x=1$的两个实数根为$\alpha$,$\beta$,则$\alpha+\beta$的值为____",3,-1,-3,1,A,
0,下列四个判断中，不正确的是____,0既不是正数也不是负数,0的倒数是0,0的相反数是 0,零是绝对值最小的有理数,B,
1,下列数中，最小的有理数是____,0,1,-2,3,C,
2,一种花瓣的花粉颗粒直径用科学记数法表示为 $6.5\times 10^{-6}$，这个数用小数表示为____,0.00065,0.000065,0.0000065,0.00000065,C,
3,小李2019年全年支付宝总支出金额为20400元，将20400用科学计数法可表示为____,$0.204\times10^5$,$2.04\times10^4$,$20.4\times10^3$,$204\times10^2$,B,
4,"在等腰$\triangle ABC$ 中 ,$AB=AC$ ，中线 BD将这个三角形的周长分为15和12两个部分，则这个等腰三角形的底边长为____",7,11,7或11,7或10,C,
5,有理数-2的相反数是____,$2$,$-2$,$\frac{1}{2}$,$-2x-9$,A,
6,$x=2$是方程$mx+5=0$的解，则函数 的图象不经过____,第一象限,第二象限,第三象限,第四象限,A,
7,下面各式中，计算正确的是____,$-4^{2}=16$,$\left(-\frac{1}{2}\right)^{3}=-\frac{1}{8}$,$2^{3}=6$,$-5-2=-3$,B,
8,已知$2a-7=1$ ，则$2+6a=$____,20,26,-16,-20,B,
9,已知反比例函数的图象经过点(-1，2)，则它的解析式是____,$y=-\frac{1}{2x}$,$y=-\frac{2}{x}$,$y=\frac{2}{x}$,$y=\frac{1}{x}$,B,
10,一艘轮船在静水中的最大航速是 30km/h，它以最大航速沿江顺流航行90km所用时间，与它以最大航速逆流航行60km所用时间相等．如果设江水的流速为x km/h，所列方程正确的是____,$\frac{90}{x+30}=\frac{60}{x-30}$,$\frac{60}{x+30}=\frac{90}{x-30}$,$\frac{90}{x+30}=\frac{60}{30-x}$,$\frac{60}{x+30}=\frac{90}{30-x}$,C,
11,关于x的方程$x^2-2x+n=0$ 无实数根，则一次函数$y=(n-1)x-n$ 的图像不经过____,第一象限,第二象限,第三象限,第四象限,B,
12,抛物线 $y=x^2-2x+m$与x轴有两个交点，则 的取值范围为____,$m>1$,$m=1$,$m<1$,$m<4$,C,
13,0.010010001…(每两个1之间依次加一个0)，3.14，$\pi$，$\sqrt 10$，$\frac{4}{3}$ 中有理数的个数为____,5个,4个,3个,2个,D,
14,我们探究得方程 $x+y=2$的正整数解只有1组，方程$x+y=3$ 的正整数解只有2组，方程$x+y=4$ 的正整数解只有3组……那么方程$x+y+z=10$ 的正整数解的组数是____,34,35,36,37,C,
15,二元一次方程$x+3y=9$ 的非负整数解有____,无数个,2个,3个,4个,D,
16,某边防哨卡运来一筐苹果，共有60个，计划每名战士分得数量相同的若干个苹果，结果还剩5个苹果；改为每名战士再多分1个，结果还差6个苹果．若设该哨卡共有x名战士，则所列方程为____,$\frac{60+6}{x}=\frac{60-5}{x}-1$,$\frac{60+6}{x}=\frac{60-5}{x}+1$,$\frac{60-6}{x}=\frac{60+5}{x}-1$,$\frac{60-6}{x}=\frac{60+5}{x}+1$,B,
17,若关于x的一元二次方程$x^2-4x+2m=0$有一个根为-1，则另一个根为____,5,-3,-5,4,A,
18,一元二次方程$x^2-x=0$的根是____,$x=1$,$x=0$,"$x_1=0, x_2=1$","$x_1=0, x_2=-1$",C,
19,某种产品，商品的标价为120元，若以九折降价出售，相对于进货价仍获利 20％，该商品的进货价为____,80元,85元,90元,95元,C,
20,学校为了了解七年级学生喜欢的课外书中语文课外阅读书、数学辅导书及英语读物所占的比例，通常采用的统计图是____,条形统计图,扇形统计图,折线统计图,以上均可,B,
21,某项工程甲单独做6天完成，乙单独做8天完成．若甲先做1天，然后甲、乙合做完成此项工程，甲、乙合做了x天，则所列方程为____,$\frac{x+1}{6}+\frac{x}{8}=1$,$\frac{x}{6}+\frac{x+1}{8}=1$,$\frac{x}{6}+\frac{x-1}{8}=1$,$\frac{x}{6}+\frac{1}{6}+\frac{x-1}{8}=1$,A,
22,正方形是轴对称图形，对称轴有____条,2,3,4,5,C,
23,"$\vert a\vert+\vert b\vert=\vert a+b\vert$,则a,b的关系是____","a,b的绝对值相等","a,b异号",$a+b$的和是非负数,"a, b 同号或其中至少一个为零",D,
24,下列说法不正确的是____,用一个平面去截正方体，截面可能是七边形,用一个平面去截一个球，截面一定是圆,棱柱的截面不可能是圆,用一个平面去截圆锥，截面可能是圆,A,
25,一张半径为6cm的扇形纸片卷成一个圆锥的侧面，要求圆锥底面圆的半径为4cm，那么这张扇形纸片的圆心角度数是____,150°,240°,200°,180°,B,
26,某种电脑病毒传播的非常快，如果一台电脑被感染，经过两轮感染后就会有81台电脑被感染，若病毒得不到有效控制，三轮感染后，被感染的电脑有____台．,81,648,700,729,D,
27,一直角三角形的两边长分别为3和4．则第三边的长为____,5,$\sqrt 7$,$\sqrt 5$,5或者$\sqrt 7$,D,
28,"在实数 $\sqrt{5}$,$\frac{7}{22}$, $\sqrt[3]{-8}$, $0$, $-1.414$, $\frac{\pi}{2}$, $\sqrt 36$,  $0.1010010001$中，无理数有____",2个,3个,4个,5个,A,
29,一个多边形截去一个角后，形成另一个多边形的内角和为720° ，那么原多边形的边数为____,5,5或6,5或7,5或6或7,D,
30,某品牌乒乓球的标准质量为2.7克，误差为$\pm 0.03$克，若从符合要求的乒乓球中随意取出两只，则这两只乒乓球的质量最多相差____,0.03克,0.06克,2.73克,2.67克,B,
31,下列各组数中，互为相反数的是____,$-(-1)$与$1$,$(-1)^2$与$1$,$|-1|$与$1$,$-1^2$与$1$,D,
32,甲乙两个码头相距s千米，某船在静水中的速度为a千米 时，水流速度为b千米 时，则船一次往返两个码头所需的时间为____小时.,$\frac{2s}{a+b}$,$\frac{2s}{a-b}$,$\frac{s}{a}+frac{s}{b}$,$\frac{s}{a+b} + \frac{s}{a-b}$,D,
33,长度分别为 2，7 ，x 的三条线段能组成一个三角形， 的值可能是____,4,5,6,9,C,
34,下列从左到右的变形，错误的是____,$-m+n=-\left(m+n\right)$,$-a-b=-(a+b )$,$\left(m-n\right)^{3}=-\left(n-m\right)^{3}$,$(y-x)^{2}=\left(x-y\right)^{2}$,A,
35,顺次连接矩形四边中点所组成的四边形是____,平行四边形,菱形,矩形,以上图形都不是,B,
36,如果两个三角形中两条边和其中一边上的高对应相等，那么这两个三角形的第三条边所对的角的关系是____,相等,不相等,互余或相等,互补或相等,D,
37,某蔬菜公司收购到某种蔬菜140吨，准备加工上市销售．该公司的加工能力是：每天可以精加工6吨或粗加工16吨．现计划用15天完成加工任务，该公司应按排几天精加工，几天粗加工？设安排x天精加工，y 天粗加工．为解决这个问题，所列方程组正确的是____,$\left\{\begin{matrix}x+y=140\\ 16x+6y=15\end{matrix}\right.$,$\left\{\begin{array}{l}x+y=140\\ 6x+16y=15\end{array}\right.$,$\left\{\begin{matrix}x+y=15\\ 16x+6y=140\end{matrix}\right.$,$\left\{\begin{matrix}x+y=15\\ 6x+16y=140\end{matrix}\right.$,D,
38,在Rt△ABC中，∠C=90°，BC=3，AB=5，则sinA的值为____,$\frac{3}{5}$,$\frac{4}{5}$,$\frac{3}{4}$,以上都不对,A,
39,下列式子从左到右变形不正确的是____,$\frac{ax}{ay}=\frac{x}{y}$,$\frac{y}{x}=\frac{ay}{ax}$,$\frac{(a^{2}+1) x}{(a^{2}+1)y}=\frac{x}{y}$,$\frac{y}{x}=\frac{(a^{2}+1)y}{\left(a^{2}+1\right)x}$,B,
40,工人师傅在给小明家安装晾衣架时，一般先在阳台天花板上选取两个点，然后再进行安装．这样做的数学原理是____,过一点有且只有一条直线,两点之间，线段最短,两点确定一条直线,连接两点之间的线段的长度叫两点间的距离,C,
41,下列运算结果正确的是____,$5x-x=5$,$2x^{2}+2x^{3}=4x^{5}$,$-4b+b=-3b$,$a^{2}b-a b^{2}=0$,C,
42,某项工程甲单独做5天完成，乙单独做10天完成.现在由甲先做两天，然后甲、乙合作完成此项工程，若设甲一共做了x天，则所列方程正确的是____,$\frac{x+2}{5}+\frac{x}{10}=1$,$\frac{x}{5}+\frac{x+2}{10}=1$,$\frac{x}{5}+\frac{x-2}{10}=1$,$\frac{x}{5}+\frac{2}{5}+\frac{x-2}{10}=1$,C,
43,过多边形的一个顶点的所有对角线把多边形分成 个三角形，这个多边形的边数是____,8,9,10,11,C,
44,北京市将在2019年北京世园会园区、北京新机场、2022年冬奥会场馆等地，率先开展5G网络的商用示范．目前，北京市已经在怀柔试验场对5G进行相应的试验工作．现在4G网络在理想状态下，峰值速率约100Mbps，未来5G网络峰值速率是4G网络的204.8倍，那么未来5G网络峰值速率约为____,$1\times10^{2}$Mbps,$2.048\times10^{2}$Mbps,$2.048\times10^{3}$Mbps,$2.048\times10^{4}$Mbps,D,
45,下列说法正确的是____,平角的始边与终边在一条直线上,一条射线是一个周角,两条射线组成的图形叫做角,两边在一直线上的角是平角,A,
46,已知$\left\{\begin{matrix}x=2\\ y=-1\end{matrix}\right.$ 是关于x，y的二元一次方程 $2x+m y=7$的解，则m的值为____,$3$,$-3$,$\frac{9}{2}$,$-11$,B,
47,一元二次方程$4x^2-1=5x$的二次项系数、一次项系数、常数项分别为____,"4,-1,5","4,-5,-1","4,5,-1","4,-1,-5",B,
48,下列合并同类项的结果正确的是____,$a+3a=3a^{2}$,$3a-a=2$,$3a+b=3a b$,$a^{2}-3a^{2}=-2a^{2}$,D,
49,如果分式$\frac{x^2-4}{x-2}$的值等于0，那么____,$x=\pm2$,$x=2$,$x=-2$,$x \neq 2$,C,
50,"已知点$A\left(x_1,y_1\right)$ 、$B\left(x_{2},y_{2}\right)$ 在二次函数$y=-x^{2}+2x+4$的图象上.若$x_1>x_2>1$ ，则$y_1$  与$y_2$ 的大小关系是____",$y_{1}\geq y_{2}$,$y_{1}=y_{2}$,$y_1>y_2$,$y_1<y_2$,D,
51,抛物线$y=-x^2+2kx+2$ 与 x轴交点的个数为____,0,1,2,以上都不对,C,
52,下列各式运算的结果为$a^6$的是____,$a^{3}\cdot a^{3}$,$(a^3)^3$,$a^3+a^3$,$a^{12} \div a^2$,A,
53,一元二次方程$x^2+6x-6=0$配方后化为____,$(x-3)^2=3$,$(x-3)^2=15$,$(x+3)^2=15$,$(x+3)^2=3$,C,
54,a表示一个一位数， b表示一个两位数，若把 a放在 b的左边，组成一个三位数，则这个三位数表示为____,a+b,10a+b,100a+b,10b+a,C,
55,某班同学毕业时都将自己的照片向全班其他同学各送一张表示留念，全班共送1035张照片，如果全班有x名同学，根据题意，列出方程为____,$x(x+1)=1035$,$x(x-1)=1035$,$\frac{1}{2}x(x+1)=1035$,$\frac{1}{2}x(x-1)=1035$,B,
56,下列说法：①“掷一枚质地均匀的硬币，朝上一面可能是正面”；②“从一副普通扑克牌中任意抽取一张，点数一定是3”____,只有①正确,只有②正确,①②都正确,①②都错误,A,
57,一元二次方程$4x^2+1=4x$的根的情况是____,没有实数根,只有一个实数根,有两个相等的实数根,有两个不相等的实数根,C,
58,下列各式$\frac{a-b}{2}$，$\frac{x+3}{x}$ ，$\frac{5+y}{\pi}$ ，$\frac{x^2}{4}$ ，$\frac{a+b}{a-b}$ ，$\frac{x-y}{m}$ ， 中分式有____个,2,3,4,5,B,
59,关于x的一元二次方程$x^2-3x+m=0$有两个不相等的实数根，则实数m的值范围为____,$m\geq \frac{9}{4}$,$m< \frac{9}{4}$,$m=\frac{9}{4}$,$m< -\frac{9}{4}$,B,
60,反比例函数$y=\frac{6}{x}$ 的图象位于____,第一、第二象限,第一、第三象限,第二、第三象限,第二、第四象限,B,
61,下列函数中，当x＞0时，y随x的增大而减小的是____,$y=\frac{x}{2}$,$y=-\frac{4}{x}$,$y=3x+2$,$y=x^2-3$,A,
62,等腰三角形的底和腰是方程$x^2-6x+8=0$的两根，则这个三角形的周长为____,8,10,8或者10,不能确定,B,
63,下列方程中是一元一次方程的是____,$1-\frac{x}{2}=3y-2$,$\frac{1}{y}-2=y$,$3x+1=2x$,$3x^{2}+1=0$,C,
64,将抛物线  $y=\frac{1}{2}x^2+1$绕原点O旋转180°，则旋转后的抛物线的解析式为____,$y=-2x^2+1$,$y=-2x^2-1$,$y=-\frac{1}{2}x^{2}+1$,$y=-\frac{1}{2}x^{2}-1$,D,
65,等式$\sqrt{x+1}\cdot\sqrt{x-1}=\sqrt{x^{2}-1}$成立的条件是____,x≥1,x≥﹣1,-1≤x≤1,x≥1或x≤﹣1,A,
66,下列算式中，你认为正确的是____,$\frac{b}{a-b}-\frac{a}{b-a}=-1$,$1\div \frac{b}{a}\times\frac{a}{b}=1$,$3a^{-1}=\frac{1}{3a}$,$\frac{1}{(a+b)^{2}}\cdot\frac{a^{2}-b^{2}}{a-b}=\frac{1}{a+b}$,D,
67,方程$2x+1=3$的解是____,$x=-1$,$x=1$,$x=2$,$x=-2$,B,
68,一个多边形的内角和是720°，这个多边形是____,五边形,六边形,七边形,八边形,B,
69,某校组织七年级学生外出研学， (1)班人数38人，居各班之首，(2) 班人数 30人，位居第二，且这两个班男生一共有 人参加，则下列说法一定正确的是：____,(1)班女生比 (2)班男生人数多,(2)班女生比 (1)班男生人数多,(2)班女生比 (2)班男生人数多,(1)班女生比 (1)班男生人数多,A,
70,下列运算结果正确的是____,$2\sqrt{2}+3\sqrt{8}=5\sqrt{10}$,$\sqrt{36}=\pm6$,$a^{2}\div a^{6}=\frac{1}{a^{4}}\left(a\neq0\right)$,$2^{-3}=-8$,C,
71,"若点 P(2,a)关于x轴的对称点为Q(b,1) ,则$(a+b)^3$的值是____",-27,-1,1,27,C,
72,甲、乙两个工程队共同参与一项筑路工程，甲队单独施工需90天完成．甲队先单独施工 30天，然后增加了乙队，两队又合做了 15天，总工程刚好全部完成．设乙队单独施工需x天完成．根据题意可得方程____,$\frac{45}{90}+\frac{15}{x}=1$,$\frac{30}{90}+\frac{15}{x}=1$,$\frac{15}{90}+\frac{30}{x}=1$,$\frac{15}{90}+\frac{45}{x}=1$,A,
73,方程 $x^2=2x$的解是____,$x_1=x_2=0$,$x_1=x_2=2$,"$x_{1}=0,x_{2}=2$","$x_{1}=0,x_{2}=\sqrt{2}$",C,
74,已知0≤a-b≤1且1≤a+b≤4，则a的取值范围是____,1≤a≤2,2≤a≤3,$\frac{1}{2}$≤a≤$\frac{5}{2}$,$\frac{3}{2}$≤a≤$\frac{5}{2}$,C,
75,去年济川中学有近1千名考生参加中考，为了了解这些考生的数学成绩，从中抽取50名考生的数学成绩进行统计分析，以下说法正确的是____,这50名考生是总体的一个样本,近1千名考生是总体,每位考生的数学成绩是个体,50名学生是样本容量,C,
76,"已知点(1,m)和点(3,n)是一次函数$y=-2x+3$图象上的两个点，则m与n的大小关系是____",m>n,m<n,m=n,以上都不对,A,
77,如$(x+m)$与$(x+3)$的乘积中不含x的一次项，则m的值为____,-3,3,0,1,A,
78,已知∠AOB，P是任一点，过点P画一条直线与OA平行，则这样的直线____,有且仅有一条,有两条,不存在,有一条或不存在,D,
79,一辆汽车在笔直的公路上行驶，在两次转弯后，仍在原来的方向上平行前进，那么这两次转弯的角度可以是____。,先右转80°，再左转100°,先左转80°，再右转80°,先左转80°，再右转100,先右转80°，再右转80°,B,
80,使二次根式$\sqrt{x-2}$ 有意义的x的取值范围为____,$x>2$,$x\geq 2$,$x=2$,$x\neq2$,B,
81,Rt 三角形ABC 中，两直角边的长分别为$3$和 $\sqrt 3$，则其斜边上的中线长为____,$sqrt 3$,$2sqrt 3$,$3$,$6$,A,
82,下列式子计算正确的是____,$2x+3y=5x y$,$3a^{2}b-5b a^{2}=-2a^{2}b$,$-\left(3x-1\right)=-3x-1$,$\left(a-b\right)-\left(c-b\right)=a-2b-c$,B,
83,"关于x ,y 的二元一次方程组 $\left\{\begin{matrix}3x+y=1+a,\\ x+3y=3\end{matrix}\right.$的解满足$x<y$ , 则 a的取值范围是____",a＞-3,a＜-3,a＞2,a＜2,D,
84,如果 $\angle A$是锐角，且$\sin A=\frac{1}{2}$ ，那么  $\angle A$的度数是____,90°,60°,45°,30°,D,
85,若关于x的方程$\frac{x+a}{x+3}-\frac{2}{x+3}=0$ 有增根，则 a的值为____,2,3,4,5,D,
86,下列代数式中不是单项式的是____,$-12a b$,$\frac{2}{\pi}$,$\frac{2x-3y}{5}$,$0$,C,
87,"若二次函数$y=x^2-4x+m$的图象经过A(-1,y1),B(2,y2),C(4,y3)三点，则y1、y2、y3的关系是____",y1<y2<y3,y3<y2<y1,y3<y1<y2,y2<y3<y1,D,
88,$-2$的倒数是____,$-2$,$2$,$-\frac{1}{2}$,$\frac{1}{2}$,C,
89,若三角形三边分别为 a，b ，c ，且分式$\frac{ab-ac+bc-b^2}{a-c}$的值为0 ，则此三角形一定是____,不等边三角形,腰与底边不等的等腰三角形,等边三角形,直角三角形,B,
90,若代数式 $\frac{x}{x-3}$的值为零，则实数x的值为____,x =0,x≠0,x =3,x≠3,A,
91,将抛物线$y=-2x^2+1$向左平移1个单位，再向下平移3个单位长度，所得的抛物线为____,$y=-2(x-1)^2-2$,$y=-2(x+1)^2-2$,$y=-2(x-1)^2+4$,$y=-2(x+1)^2+4$,B,
92,下列运算中正确的是____,$a^{5}+a^{5}=2a^{5}$,$a^{3}a^{2}=a^{6}$,$2x\cdot3x=6x$,$\left(a^{3}\right)^{4}=a^{7}$,A,
93,把方程$\frac{x+1}{0.4}-\frac{0.2x-1}{0.7}=1$中分母化整数，其结果应为____,$\frac{10x+1}{4}-\frac{2x-1}{7}=1$,$\frac{10x+1}{4}-\frac{2x-1}{7}=10$,$\frac{10x+10}{4}-\frac{2x-10}{7}=1$,$\frac{10x+10}{4}-\frac{2x-10}{7}=10$,C,
94,下列二次根式中的最简二次根式是____,$\sqrt{30}$,$\sqrt{12}$,$\sqrt{8}$,$\sqrt{\frac{1}{2}}$,A,
95,方程 $x^{2}-x+3=0$的根的情况是____,有两个不相等的实数根,有两个相等的实数根,无实数根,只有一个实数根,C,
96,要使分式$\frac{x}{x-1}$有意义，则x的取值范围是____,$x\neq 1$,$x\neq 0$,$0<x<1$,$x\neq -1$,A,
97,为了简明扼要地说明空气中多种混合气体情况，使用的统计图最好是____,条形统计图,折线统计图,扇形统计图,频数分布直方图,C,
98,某工艺品车间有 20名工人，平均每人每天可制作 12个大花瓶或 10个小饰品，已知2 个大花瓶与 5个小饰品配成一套，则要安排 x名工人制作大花瓶，才能使每天制作的大花瓶和小饰品刚好配套，方程正确的是____,$2\times12\left(x-20\right)=5\times10x$,$2\times12x=5\times10\left(20-x\right)$,$5\times12\left(x-20\right)=2\times10x$,$5\times12x=2\times10\left(20-x\right)$,D,
99,若 a，b 为实数，且$b=\frac{\sqrt{a^{2}-9}+\sqrt{9-a^{2}}}{a+3}+4$ ，则$a+b$ 的值为____,-1,1,1或7,7,D,
100,如果 $y=-x+3$，且 $x\neq y$，那么代数式$\frac{x^{2}}{x-y}+\frac{y^{2}}{y-x}$的值为____,$3$,$-3$,$\frac{1}{3}$,$-frac{1}{3}$,A,
101,下列二次根式中属于最简二次根式的是____,$\sqrt 8$,$\sqrt {\frac{2}{3}}$,$\sqrt {14}$,$\sqrt {5x^3}$,C,
102,如果一个三角形的两边长分别是2和4，则第三边可能是____,2,4,6,8,B,
103,"若点P(1-m,3 )在第二象限，则m的取值范围是____",m<1,m<0,m>0,m>1,D,
104,抛物线 $y=\left(x-1\right)^{2}+3$的顶点坐标为____,"(1,3)","(-1,3)","(-1,-3)","(3,1)",A,
105,口袋中装有形状、大小与质地都相同的红球2个，黄球1个，下列事件为随机事件的是____,随机摸出1个球，是白球,随机摸出1个球，是红球,随机摸出1个球，是红球或黄球,随机摸出2个球，都是黄球,B,
106,"比较 $-2.4$，$-0.5$,$-(-2)$,$-\pi$  的大小，下列正确的____",$-\pi>-2.4>-\left(-2\right)>-0.5$,$-(-2)>-\pi>-2.4>-0.5$,$-(-2)>-0.5>-2.4>-\pi$,$-\pi>-\left(-2\right)>-2.4>-0.5$,C,
107,若$x=-1$是关于 x的方程$2x+5a=3$ 的解，则 $a$的值为____,$\frac{1}{5}$,2,1,-1,C,
